Releve_number,Country_code,Biblioreference,No_table_in_publ,No_releve_in_table,Cover_abundance_scale,Author,Date_yearmonthday,Syntaxon_code,Releve_area_m2,Altitude_m,Aspect_degrees,Slope_degrees,Cover_tree_layer_perc,Cover_shrub_layer_perc,Cover_herb_layer_perc,Cover_moss_layer_perc,Cover_lichen_layer_perc,Height_high_herb_layer_cm,Mosses_identified_yn,Lichens_identified_yn,Remarks,Coordinate_system,Resurvey,For_eva,Rs_project,Rs_site,Rs_plot,Rs_observ,Plot_shape,Manipulate,Maniptyp,Loc_method,Data_owner,Eva_access,Longitude,Latitude,Precision_m,Locality,Field_nr,Habitat,S_ph_h2o,Best_fit,Validation,Protection,Plot_type,number_species,CR_NT_number,CR_NT_perc_number,CR_NT_perc_cover,alien_perc_cover,Syntax_new,alien_number,TD_number,TD_perc_number,TD_perc_cover,TF_number,TF_perc_number,TF_perc_cover,TH_number,TH_perc_number,TH_perc_cover,XA_XC_number,XA_XC_perc_number,XA_XC_perc_cover,light,temperature,moisture,reaction,nutrients,salinity,Time
904005,CZ,101534,NA,NA,2,M. Harásek,20180814,NA,36,323,270,13,0,0,35,40,30,0,N,N,Opakování snímku M. Chytrý: 401633,1,Y,Y,Acidic dry grasslands SW Moravia,AIa,AIa-New,AIa-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160354.7,485413.2,4,"Únavov, cca 380 m S od Zámku Únavov",18/19,Suchý trávník v blízkosti pole,4.26,Y,Y,N,resampling,14,2,14.29,4.9,0,THG01,0,0,0,0,4,28.57,15.2,7,50,37.3,1,7.14,3,7.15,5.39,3.54,4.15,2.46,0,new
904007,CZ,101534,NA,NA,2,M. Harásek,20180815,NA,49,303,220,2,0,0,65,40,5,0,N,N,Opakování snímku M. Chytrý: 401630; celý snímek příliš neodpovídá původní vegetaci (ponechat / vyřadit) - chybí především C. humillis,1,Y,Y,Acidic dry grasslands SW Moravia,AJa,AJa-New,AJa-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160414.3,485435.8,5,"PP Kopečky u Únavova, Z část chráněného území, cca 1,3 km SSV kaple Nanebevzetí Panny Marie v Únavově",18/21,"Suchý trávník; plocha nedaleko vzdálenému poli, částečně ruderalizované společenstvo",5.75,Y,Y,Y,resampling,21,0,0,0,43.4,THG01,5,2,9.52,39.9,7,33.33,31.8,10,47.62,37.1,9,42.86,22.5,7.8,5.8,3.7,6.25,4.35,0.35,new
904006,CZ,101534,NA,NA,2,M. Harásek,20180814,NA,49,309,210,7,0,0,75,15,1,0,N,N,Opakování snímku M. Chytrý: 401631,1,Y,Y,Acidic dry grasslands SW Moravia,AJb,AJb-New,AJb-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160415.6,485436,4,"PP Kopečky u Únavova, Z část chráněného území, cca 1,3 km SSV kaple Nanebevzetí Panny Marie v Únavově",18/20,"Suchý trávník na kontaktu se zemědělskou půdou, částečně ruderalizované společenstvo",5.54,Y,Y,Y,resampling,33,6,18.18,10.5,7.8,THG01,3,3,9.09,6.8,12,36.36,36.3,22,66.67,56,7,21.21,15.8,7.84,6.03,3.13,6.41,3.16,0.25,new
904008,CZ,101534,NA,NA,2,M. Harásek,20180815,NA,49,315,160,10,0,0,70,20,0,0,N,N,Opakování snímku M. Chytrý: 401632,1,Y,Y,Acidic dry grasslands SW Moravia,AJc,AJc-New,AJc-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160421.8,485435,4,"PP Kopečky u Únavova, J část chráněného území, ca 1,3 km SSV kaple Nanebevzetí Panny Marie v Únavově",18/22,Suchý trávník; hlinitá až hlinitopísčitá půda,7.08,Y,Y,Y,resampling,17,2,11.76,9.8,3,THG01,2,4,23.53,7.8,3,17.65,6.8,11,64.71,72.2,3,17.65,5.9,7.77,6.06,3.47,6.29,3.41,0.29,new
904133,CZ,101534,NA,NA,2,M. Harásek,20190805,NA,25,375,NA,2,0,0,85,20,0,20,N,N,Opakování snímku M. Chytrý: 401637,1,Y,Y,Acidic dry grasslands SW Moravia,AKa,AKa-NewSimil,AKa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,155940.6,485155.6,4,"Mašovice, ca 1,7 km SV od OÚ v obci",19/170,"Zapojený stepní trávník, výslunný, humózní půda",0,Y,N,Y,resampling,15,1,6.67,2,2,THG01,1,2,13.33,4.9,7,46.67,29.6,7,46.67,28.8,4,26.67,8.7,7.6,5.6,3.73,5.53,3.4,0.4,new
904107,CZ,101534,NA,NA,2,M. Harásek,20190714,NA,36,230,NA,0,0,0,60,40,30,90,N,N,Opakování snímku M. Chytrý: 401525,1,Y,Y,Acidic dry grasslands SW Moravia,ALa,ALa-NewSimil,ALa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,161118.7,484930.8,4,"Hodonice, PP Vraní vrch, ca 1,9 km VJV kostela v obci",19/141,"Suchý acidofilní trávník na temeni kopce, známky trusu",0,Y,N,Y,resampling,19,5,26.32,10.5,1,THG02,1,0,0,0,9,47.37,34.5,12,63.16,39,5,26.32,15.2,8.05,6.32,2.95,6.37,3,0.26,new
904109,CZ,101534,NA,NA,2,M. Harásek,20190714,NA,49,225,250,5,0,0,90,30,0,120,N,N,Opakování snímku M. Chytrý: 401526,1,Y,Y,Acidic dry grasslands SW Moravia,ALb,ALb-New,ALb-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,161117.1,484928.4,3,"Hodonice, PP Vraní vrch, ca 1,9 km VJV kostela v obci",19/143,"Zapojený acidofilní trávník, dominance trav, trus",5.14,Y,Y,Y,resampling,24,7,29.17,18.5,2,THG02,1,1,4.17,2,11,45.83,33.1,18,75,43.7,3,12.5,17.1,7.96,6.33,3.04,6.46,3.04,0.21,new
904029,CZ,101534,NA,NA,2,M. Harásek,20190610,NA,25,234,270,5,0,0,90,50,10,100,N,N,Opakování snímku M. Chytrý: 401488,1,Y,Y,Acidic dry grasslands SW Moravia,AMa,AMa-NewSimil,AMa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160854.7,484844.3,3,"Derflice, PP Kamenná hora u Derflic, 600 m SV od kostela v obci",19/55,Polydominantní acidofilní trávník,5.15,Y,N,Y,resampling,27,8,29.63,20.1,4,THA04,2,2,7.41,4,7,25.93,13.2,18,66.67,49.3,1,3.7,2,7.65,6.15,3.04,6.39,2.96,0.23,new
904001,CZ,101534,NA,NA,2,M. Harásek,20180814,NA,36,233,30,15,0,0,70,70,0,0,N,N,Opakování snímku M. Chytrý: 401640,1,Y,Y,Acidic dry grasslands SW Moravia,ANa,ANa-New,ANa-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160828.5,484951.3,4,"Tasovice, cca 1,1 km JZ kostela Nanebevtí Panny Marie v obci",18/15,Trávník zarůstající Rosa sp. a plevely blízkého pole,5.84,Y,Y,Y,resampling,31,6,19.35,13.2,4,THG01,2,3,9.68,6.8,6,19.35,18.5,20,64.52,60.8,5,16.13,12.3,7.47,6.3,3.07,6.53,3.17,0.1,new
904092,CZ,101534,NA,NA,2,M. Harásek,20190708,NA,25,255,190,10,0,0,40,30,0,90,N,N,Opakování snímku M. Chytrý: 401480,1,Y,Y,Acidic dry grasslands SW Moravia,AOa,AOa-NewSimil,AOa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160534.8,484957.7,5,"Načeratice, PP Načeratický kopec, ca 2,1 km SZ kostela v obci",19/124,"Suchý trávník, řídký, exponovaný, mělká půda",4.94,Y,N,Y,resampling,22,6,27.27,16.8,4,THA04,2,1,4.55,2,10,45.45,24.1,16,72.73,36.9,4,18.18,8.7,8.18,6.27,2.86,6.27,2.96,0.23,new
904091,CZ,101534,NA,NA,2,M. Harásek,20190708,NA,49,280,225,10,0,0,70,50,0,90,N,N,Opakování snímku M. Chytrý: 401481,1,Y,Y,Acidic dry grasslands SW Moravia,AOb,AOb-New,AOb-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160548.7,484935.6,3,"Načeratice, PP Načeratický kopec, ca 1,4 km SZ kostela v obci",19/123,"Suchý acidofilní stepní trávník, plochý svah, polydominantní",4.6,Y,Y,Y,resampling,24,5,20.83,36.7,2,THA04,1,0,0,0,10,41.67,23.3,19,79.17,55.7,3,12.5,5.9,7.96,6.33,2.71,6.29,2.5,0.13,new
904143,CZ,101534,NA,NA,2,M. Harásek,20190605,NA,35,318,280,10,0,0,20,55,15,50,N,N,Opakování snímku M. Chytrý: 401417,1,Y,Y,Acidic dry grasslands SW Moravia,APa,APa-New,APa-New-2019,rectangle,N,NA,6,Martin Harásek & Milan Chytrý,1,160115.1,484949.5,6,"Konice, ca 350 m J od hlavní křižovatky v obci, 350 m ZJZ od kostela",19/37,"Kyselý substrát, mělká půda, bez výchozů",0,Y,Y,Y,resampling,7,1,14.29,2,0,TEE01,0,0,0,0,2,28.57,10.8,4,57.14,14.3,1,14.29,8,7.14,5.14,3.71,3.86,2.14,0,new
904142,CZ,101534,NA,NA,2,M. Harásek,20190605,NA,25,325,180,10,0,0,40,15,1,100,N,N,Opakování snímku M. Chytrý: 401418,1,Y,Y,Acidic dry grasslands SW Moravia,APb,APb-New,APb-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160115.8,484949.1,5,"Konice, ca 350 m J od hlavní křižovatky v obci, 350 m ZJZ od kostela",19/36,"Acidofilní trávník, vystupující podloží, mělká půda",0,Y,Y,Y,resampling,25,5,20,16,3,TEE01,1,2,8,4.9,13,52,28.5,20,80,46.4,3,12,12.5,7.83,5.92,2.92,5.63,2.71,0.21,new
904145,CZ,101534,NA,NA,2,M. Harásek,20190605,NA,49,323,360,5,0,0,80,30,0,130,N,N,Opakování snímku M. Chytrý: 401642,1,Y,Y,Acidic dry grasslands SW Moravia,APc,APc-NewSimil,APc-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160115.8,484949.9,7,"Konice, ca 350 m J od hlavní křižovatky v obci, 350 m ZJZ od kostela",19/39,Acidofilní trávník zarůstající A. elatius,0,Y,N,Y,resampling,22,5,22.73,43.4,18,THG01,1,3,13.64,21.2,6,27.27,12.3,17,77.27,62,2,9.09,9.8,7.67,5.91,3.14,6.05,2.76,0.14,new
904036,CZ,101534,NA,NA,2,M. Harásek,20190612,NA,49,300,100,10,0,5,90,5,0,100,N,N,Opakování snímku M. Chytrý: 401436,1,Y,Y,Acidic dry grasslands SW Moravia,AQa,AQa-New,AQa-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160229,485049.5,5,"Znojmo, okraj NP Podyjí, asi 900 m JJZ Rotundy sv. Kateřiny v obci",19/64,"Značné zastoupení vřesu, v něm vyšlapené chodníčky, zarůstající náletovými dřevinami",3.99,Y,Y,Y,resampling,20,0,0,0,8,TEE01,1,3,15,12.5,5,25,16,8,40,21.8,2,10,4,7.33,5.56,3.94,4.78,3.11,0.17,new
904038,CZ,101534,NA,NA,2,M. Harásek,20190612,NA,49,310,90,5,0,0,90,20,0,110,N,N,Opakování snímku M. Chytrý: 401437,1,Y,Y,Acidic dry grasslands SW Moravia,AQb,AQb-NewSimil,AQb-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160220.2,485047.7,4,"Znojmo, okraj NP Podyjí, asi 900 m JJZ Rotundy sv. Kateřiny v obci",19/66,Vřesoviště s minimem prostoru pro růst konkurenčních druhů,4.04,Y,N,Y,resampling,21,0,0,0,2,TEE01,1,4,19.05,7.8,6,28.57,12.3,6,28.57,12.3,2,9.52,4.9,7.5,5.33,3.72,4.83,3.17,0.33,new
904039,CZ,101534,NA,NA,2,M. Harásek,20190612,NA,49,315,20,5,0,0,80,55,5,60,N,N,Opakování snímku M. Chytrý: 401438,1,Y,Y,Acidic dry grasslands SW Moravia,AQc,AQc-New,AQc-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160222.2,485051.2,5,"Znojmo, okraj NP Podyjí, asi 900 m JJZ Rotundy sv. Kateřiny v obci",19/67,Acidofilní trávník na vypouklém svahu s několika dominujícími druhy,3.79,Y,Y,Y,resampling,11,1,9.09,2,0,TEE01,0,1,9.09,2,4,36.36,16,6,54.55,20.2,1,9.09,4,7.5,5.5,3.6,3.9,2.2,0,new
904040,CZ,101534,NA,NA,2,M. Harásek,20190612,NA,49,297,60,7,0,0,90,15,0,90,N,N,Opakování snímku M. Chytrý: 401639,1,Y,Y,Acidic dry grasslands SW Moravia,AQd,AQd-NewSimil,AQd-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160230.2,485049.2,6,"Znojmo, okraj NP Podyjí, asi 900 m JJZ Rotundy sv. Kateřiny v obci",19/68,"Acidofilní trávník, polydominantní",4.25,Y,N,Y,resampling,26,4,15.38,9.6,4.9,THG01,2,3,11.54,5.9,9,34.62,24.9,14,53.85,32.8,4,15.38,9.6,7.76,5.76,3.36,5.32,2.96,0.24,new
904102,CZ,101534,NA,NA,2,M. Harásek,20190709,NA,9,307,315,8,0,0,25,50,5,60,N,N,Opakování snímku M. Chytrý: 401419,1,Y,Y,Acidic dry grasslands SW Moravia,ARa,ARa-NewSimil,ARa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160107.4,484936.7,4,"Popice, Popický vrch, cca 600 m SSV kostela v Popicích (centrum obce)",19/134,Řídký vřesovištní acidofilní trávník,3.85,Y,N,Y,resampling,8,1,12.5,3,0,TEE01,0,0,0,0,4,50,9.6,5,62.5,12.3,1,12.5,3,7.38,5.25,3.5,3.75,2.13,0,new
904146,CZ,101534,NA,NA,2,M. Harásek,20190605,NA,49,306,30,10,0,0,85,22,3,100,N,N,Opakování snímku M. Chytrý: 401439,1,Y,Y,Acidic dry grasslands SW Moravia,ARb,ARb-New,ARb-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160110,484937.5,4,"Konice, ca 700 m J od hlavní křižovatky v obci, ca 700 m JZ kostela v obci",19/40,Acidofilní trávník,0,Y,Y,Y,resampling,22,2,9.09,4.9,2,TEE01,1,3,13.64,4.9,7,31.82,14.1,11,50,23.1,4,18.18,8.7,7.5,5.59,3.41,5.09,2.96,0.14,new
904099,CZ,101534,NA,NA,2,M. Harásek,20190709,NA,20,314,NA,1,0,0,70,50,10,70,N,N,Opakování snímku M. Chytrý: 401440,1,Y,Y,Acidic dry grasslands SW Moravia,ARc,ARc-NewSimil,ARc-NewSimil-2019,rectangle,N,NA,6,Martin Harásek & Milan Chytrý,1,160108.5,484936.1,3,"Popice, Popický vrch, cca 600 m SSV kostela v Popicích (centrum obce)",19/131,"Vřesoviště na vrcholu (temeni) kopce, výchozy horniny",4.03,Y,N,Y,resampling,16,3,18.75,11.6,0,NA,0,0,0,0,4,25,9.6,9,56.25,23.3,1,6.25,3,7.5,5.69,3.31,4.88,2.56,0.13,new
904137,CZ,101534,NA,NA,2,M. Harásek,20190813,NA,36,305,210,5,0,0,90,20,0,120,N,N,Opakování snímku M. Chytrý: 401530,1,Y,Y,Acidic dry grasslands SW Moravia,ARd,ARd-New,ARd-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160104.6,484935.4,5,"Popice, Popický vrch (313), cca 650 m S od hlavní křižovatky v obci",19/178,"Zapojený exponovaný acidofilní trávník, na malé části plochy snímku navážka kamení",0,Y,Y,Y,resampling,32,5,15.63,43.4,9.6,THG02,4,3,9.38,5.9,13,40.63,51.8,21,65.63,74.3,8,25,15.8,7.88,6,3.28,6.31,3.41,0.28,new
904147,CZ,101534,NA,NA,2,M. Harásek,20190605,NA,49,310,260,5,0,0,85,20,0,110,N,N,Opakování snímku M. Chytrý: 401643,1,Y,Y,Acidic dry grasslands SW Moravia,ARe,ARe-NewSimil,ARe-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160108.6,484935.8,3,"Konice, ca 700 m J od hlavní křižovatky v obci, ca 700 m JZ kostela v obci",19/41,"Acidofilní trávník s výchozy horniny, druhově pestrý bez dominanty",0,Y,N,Y,resampling,26,4,15.38,19.5,3,THG01,1,2,7.69,4.9,9,34.62,23.3,19,73.08,57.1,4,15.38,27.5,7.77,5.89,3.15,5.85,2.92,0.23,new
904056,CZ,101534,NA,NA,2,M. Harásek,20190626,NA,5,330,270,10,0,0,45,60,15,25,N,N,"Opakování snímku M. Chytrý: 401420; lokalita se mi jeví jako přepasená (zarůstající Bromus), cca 300 ovcí",1,Y,Y,Acidic dry grasslands SW Moravia,ASa,ASa-NewSimil,ASa-NewSimil-2019,rectangle,N,NA,6,Martin Harásek & Milan Chytrý,1,160026.6,484904.4,5,"Popice, vřesoviště (NP Podyjí), ca 400 m JZ od kaple M. Bolestné",19/84,Suchý acid. trávník na mírné terénní vyvýšenině,4.22,Y,Y,Y,resampling,14,2,14.29,4,2,TEE01,1,1,7.14,2,4,28.57,14.3,5,35.71,21.2,3,21.43,5.9,7.39,5.62,3.69,4.15,2.77,0.08,new
904057,CZ,101534,NA,NA,2,M. Harásek,20190626,NA,49,325,15,5,0,0,70,30,0,100,N,N,"Opakování snímku M. Chytrý: 401441; lokalita se mi jeví jako přepasená (zarůstající Bromus), cca 300 ovcí",1,Y,Y,Acidic dry grasslands SW Moravia,ASb,ASb-New,ASb-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160032.4,484907.3,4,"Popice, vřesoviště (NP Podyjí)",19/85,"Acidofilní trávník s mělkou půdou a dominancí vřesu, zarůstající keři",4.28,Y,N,Y,resampling,34,1,2.94,2,8.7,TEE01,4,5,14.71,10.5,11,32.35,19.1,15,44.12,26.2,6,17.65,11.4,7.44,5.56,3.88,5.22,3.41,0.31,new
904058,CZ,101534,NA,NA,2,M. Harásek,20190626,NA,49,320,50,5,0,0,95,35,5,45,N,N,"Opakování snímku M. Chytrý: 401644; lokalita se mi jeví jako přepasená (zarůstající Bromus), cca 300 ovcí",1,Y,Y,Acidic dry grasslands SW Moravia,ASc,ASc-NewSimil,ASc-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160032.1,484911.8,6,"Popice, vřesoviště (NP Podyjí), cca 200 m Z od kaple M. Bolestné",19/86,"Zapojený acidofilní trávník, ploška mezi stromy P. sylvestris",4.97,Y,N,Y,resampling,33,1,3.03,2,10.5,THG01,5,5,15.15,15.1,13,39.39,37.7,11,33.33,30.2,9,27.27,17.5,7.41,5.44,3.94,5.28,3.84,0.38,new
904095,CZ,101534,NA,NA,2,M. Harásek,20190708,NA,25,261,195,15,0,0,55,20,30,110,N,N,Opakování snímku M. Chytrý: 401490,1,Y,Y,Acidic dry grasslands SW Moravia,ATa,ATa-NewSimil,ATa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160215.4,484844.5,6,"PP Pustý kopec u Konic, ca 2,3 km JJV od kostela sv. Jakuba Většího v Konicích",19/127,"Exponovaný suchý trávník, řídký",4.33,Y,N,Y,resampling,22,6,27.27,12.3,0,THA04,0,0,0,0,10,45.45,20,17,77.27,31.2,6,27.27,12.3,8,6.27,2.73,6.32,2.73,0.14,new
904096,CZ,101534,NA,NA,2,M. Harásek,20190708,NA,9,264,NA,0,0,0,40,80,10,50,N,N,Opakování snímku M. Chytrý: 401491,1,Y,Y,Acidic dry grasslands SW Moravia,ATb,ATb-NewSimil,ATb-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160217.6,484846.5,4,"PP Pustý kopec u Konic, ca 2,3 km JJV od kostela sv. Jakuba Většího v Konicích",19/128,Suchý trávník na temeni kopce s vystupujícím skalním podložím,4.26,Y,N,Y,resampling,20,7,35,15,0,THA04,0,0,0,0,9,45,23.3,17,85,36.1,2,10,4,8.11,6.53,2.58,6.68,2.58,0.16,new
